Company Name,Job Profile,Individual Stipend
Nyamah Jewelry,Marketing, 3000-6000 /month
Inaiyathalam,Web Development, 8000-10000 /month
Cloudanix,Graphic Design, 10000 /month
Cloudanix,Web Development, 12000 /month
Daten & Wissen Private Limited,Business Development (Sales), 5000-10000 /month
Finstreet,React/React.js Development, 10000 /month
DIBC,Graphic Design, 5000-10000 /month
Gumstack,Web Development, 20000 /month
Moontropy Private Limited,React Native Development, 12000-20000 /month
Alorb Technologies Private Limited,Business Development (Sales), 5000-6000 /month
Tech Wishes Solutions,Graphic Design, 7000 /month
"NCFlexe, IIT Kanpur",Java Development Engineering, 10000 /month
Landscape Outsource Marketing Private Limited,Business Development (Sales), 15000 /month
Camp K12,Teaching (Coding), 25000-35000 /month
Camp K12,Teaching (JavaScript - International), 20000-30000 /month
Techniek,ReactJS development, 16000 /month
Kakcho,Marketing, 8000-10000 /month
MapOut,Operations And Business Development, 15000-25000 /month
Hind Technologies,Business Development (Sales), 10000 /month +  Incentives
Vruksh Ecosystems,Web Development, 5000-10000 /month
CamCom,Data Annotation/Collection, 6000 /month
Webknot Technologies Private Limited,Mobile App Development, 8000-15000 /month
ISimplexity,Web Development, 10000-20000 /month
Novoto,Business Development (Sales), 7500 /month
Possibillion Software Technologies Private Limited,Full Stack Development (MERN), 10000-12000 /month
Binary Numbers,Web Development (React or Vue.js), 10000 /month
ThrivingZen (OPC) Private Limited,Full Stack Development, 10000-20000 /month
ThrivingZen (OPC) Private Limited,Product Management, 15000-25000 /month
UFaber Edutech,Marketing, 10000 /month
Azea,Business Development (Sales), 5000-10000 /month
Global InfoCloud Private Limited,Graphic Design, 10000-15000 /month
ELSA Corporation,Business Development (Sales), 25000 /month
Falconnect Technologies Private Limited,Web Development, 5000-10000 /month
BK Management Solutions Private Limited,Business Development (Sales), 10000 /month
Innovators And You,Business Development (Sales), 6000-10000 /month
Seventy Event Media Group,Graphic Design, 7000-12000 /month
HelpNow,Flutter Development, 10000 /month
Infplus Solutions Private Limited,Graphic Design, 7000 /month
Uipro Corporation,.NET Development, 8000-15000 /month
"NCFlexe, IIT Kanpur",Mobile App Development, 10000 /month
"NCFlexe, IIT Kanpur",Web Development, 10000 /month
OSI Systems Private Limited,Web Development, 20000 /month
Tamasha,Web Development, 10000 /month
Masterji,Web Development, 7000 /month
ND Commerce,Marketing, 10000 /month
Hertzsoft Technologies Private Limited,MEAN Stack Development, 20000 /month
Clear Job,Business Development (Sales), 6000 /month
Bobble Keyboard,Cyber Security, 15000 /month
Qollabb EduTech Private Limited,Marketing, 10000 /month
Bozobaka Labs Private Limited,Mobile App Development, 15000-25000 /month
LEAD School,Employer Branding, 10000 /month
Selekt,Software Testing, 10000 /month
Wobot Intelligence Private Limited,Front End Development, 7000 /month
Finetic Digital Interactive,Unity3D/Three.js VR Game Development, 13000 /month
Acept One MediaWorks Private Limited,Graphic Design, 5000-6000 /month
AT&T Software LLC,Web Development, 7000 /month
Security Software & Solutions LLP,Blockchain Development, 15000-25000 /month
Yebelo Technology,Java Development, 10000 /month
TechKaTech,Business Development (Sales), 7000 /month
Yebelo Technology,Front End Development, 10000 /month
Conquer Education Group,Mobile App Development, 7000 /month
Regime Tax Solutions Private Limited,Python/Django/Pandas, 15000 /month
Entrepreneur Growth Lab (OPC) Private Limited,Web Development, 5000-10000 /month
Weberr,Web Development, 10000 /month
Bizmarvel,Flutter Development, 8000-12000 /month
AT&T Software LLC,Web Development, 7000 /month
Vikalp India Private Limited,Academic Relationship Management, 7000-9000 /month
Awaywegoo Travel & Languages Private Limited,Business Development (Sales), 8000 /month
Overtures Infotech,Web Development, 10000 /month
Regime Tax Solutions Private Limited,Angular Development, 15000 /month
Round Tree Hospitality LLP,Business Development (Sales), 6000 /month
SplitMirror Picturez,2D Vector Character Art, 6000 /month
Futuryze Digital,Graphic Design, 15000 /month
Trikolaa Tech,Business Development (Sales), 4000-6000 /month
Eazr Digipayments Private Limited,Marketing, 15000-25000 /month
SqM Technologies,FPGA RTL Design, 10000 /month
Dhanguard LLC,PHP Development, 10000-20000 /month
Blub World,Graphic Design, 6000-11000 /month
DigiAdda,WordPress Development, 10000 /month
Zattire,Graphic Design, 3000-8000 /month
MVSD CO,Graphic Design, 10000 /month
GMoney Private Limited,Graphic Design, 10000 /month
Vaultboard Consulting Private Limited,Full Stack Development, 15000 /month
Kamlamrit,Graphic Design, 8000 /month
SmartQ - Bottle Lab Technologies Private Limited,Business Development (Sales), 15000 /month
Concept Hospitality Private Limited (The Fern Group Of Hotels),Marketing, 10000 /month
Purple Tutor,Graphic Design, 7000 /month
Namosri Ventures Private Limited,Marketing, 7000 /month
Stockarea,Marketing, 10000-15000 /month
SlideUpLift,Graphic Design, 8000-10000 /month
Enable Careers,Information Technology, 10000 /month
DataVinci Private Limited,Web Development, 10000 /month
Sea Lord Entertainment,Brand Management, 2000-7000 /month
Shadovein,Graphic Design, 3000-6000 /month
Bhakti Mehta,Graphic Design, 6000 /month
Paarami Digital Consulting,Web Development, 8000 /month
Docwithyou,Web Development, 2000 /week +  Incentives
Fedbank Financial Services Private Limited,Graphic Design, 12000-22000 /month
Solera Life Science Private Limited,Mobile App Development, 15000-20000 /month
Solera Life Science Private Limited,MERN Stack Development, 15000-20000 /month
Solera Life Science Private Limited,Web Development, 15000-20000 /month
Wild Voyager Private Limited,Graphic Design, 3000 lump sum
Bhattacharjee Solutions,Mobile App Development, 7000 /month
Native Developers,Mobile App Development, 8000-12000 /month
Vaultboard Consulting Private Limited,Web Development, 10000 /month
Prodeti Technologies,Mobile App Development, 5000-8000 /month
Scrrum Labs,Angular 6+ Development, 6000-10000 /month
Pcds Infotech,Graphic Design, 5000-8000 /month
ADYOB Technologies Private Limited,Business Development (Sales), 10000 /month
Travel Spirit International,Graphic Design, 10000 /month
TeamLease Regtech Private Limited,.NET Development, 7000-10000 /month
Growthix Media,Graphic Design, 5000-6000 /month
Cogent Web Services,Game Development, 10000 /month
Perfect Web Solutions,Graphic Design, 4000-7000 /month
Zuneeue Technologies,Graphic Design, 7000 /month
Cogent Web Services,Android App Development, 6000 /month
Group Futurista,Event Management, 10000-12000 /month
Cogent Web Services,Flutter Development, 6000 /month
SRS Digimind,Web Development, 15000-20000 /month
Nimble-Q,Teaching (Python Development), 6000 /month
EternalBlox Solutions,Graphic Design, 10000 /month
Shahwebsetters,Mobile Gaming, 8000 /month
Logion Solutions,Graphic Design, 8000 /month
Alfalabs Technologies,Test Automation With Selenium, 10000 /month
Animation Bee,Web Development, 9000 /month
SlideUpLift,Graphic Design, 8000-10000 /month
MedTel,Business Development (Sales), 8000-10000 /month
Softusvista,Civil Engineering, 8000 /month
MB Softech Consultants,Web Development, 5000-7500 /month
TheDigitalShift,Mobile App Development, 7500 /month
Exa Mobility India Private Limited,Graphic Design, 5000-10000 /month
LUXICA,Interior Design, 10000-12000 /month
TPF Technologies Private Limited,Game Development (Unity 3D), 10000 /month
Panicle Tech,Web Development, 7000-12000 /month
QuoDeck Technologies Private Limited,MERN Stack Development, 18000 /month
TantraSoft Solutions (I) Private Limited,Angular Development, 10000 /month
SAND Network Private Limited,Graphic Design, 15000 /month
CITS Worldwide,Game Development, 20000 lump sum
CITS Worldwide,Android App Development, 20000 lump sum
CITS Worldwide,Flutter Development, 20000 lump sum
603 The CoWorking Space India,Community Management, 5000-10000 /month
Techosto,Mobile App Development (React Native), 8000-12000 /month
Techosto,Python Development, 8000-12000 /month
Amsterdam Takeout,Graphic Design, 7000 /month
Wobot Intelligence Private Limited,Computer Vision, 10000 /month
The Dreamer Designs,Graphic Design, 6000-10000 /month
Vamos Digital,Graphic Design, 10000 /month
Stirring Minds,Mobile App Development, 7000-12000 /month
Intellemo Adtech Private Limited,Graphic Design, 15000 /month
JK Ventures,Business Development (Sales), 3000-8000 /month
Feed Your Feed,Graphic Design, 6000-12000 /month
Sosocial International Private Limited,Graphic Design, 6000-7000 /month
InAmigos Foundation,Community Influencing, 1000-4000 /week
Valkyre Clothing,Graphic Design, 13000-15000 /month
Pumpkin Kart,Graphic Design, 7500-10000 /month
DigiPatang,Web Development, 10000 /month
UXINDIA,WordPress Development, 8000-10000 /month
UXINDIA,Marketing, 8000-10000 /month
BizReputations,PHP Development, 10000-15000 /month
Clothing And Merchandise,Mobile App Development, 10000 /month
SockSoho,Graphic Design, 8000-12000 /month
Progressive Care,Graphic Design, 8000 /month
ETark,Web Development, 15000 lump sum
Vegalmedia,Mobile App Development, 10000 /month
Evogue Media LLP,Graphic Design, 10000 /month
OneFin,Web Development, 20000 /month
Binary Numbers,Web Development, 20000 /month
MapOut,Backend Development, 15000-20000 /month
MapOut,Graphic Design, 20000-30000 /month
Wobot Intelligence Private Limited,Backend Development, 7000 /month
Skyhigh Technologies,Web Development, 6000 /month
MyValuePack Retail Private Limited,Mobile App Development, 15000 /month
Decoders Labs,Graphic Design, 3000-7000 /month
Stirring Minds,Business Development (Sales), 5000-10000 /month
Brandish Media And Entertainment,Mobile App Development, 10000 /month
FinsightAI Technologies Private Limited,Data Science/Python Development, 7000-14000 /month
NSL Impex Private Limited,Business Development (Sales), 12000 /month
IMumz,Graphic Design, 8000-10000 /month
Goodera,Growth Strategy (Business Analysis), 15000 /month
Rabbit Infotech LLP,Web Development, 5000-8000 /month
Rabbit Infotech LLP,Web Development, 3000-8000 /month
Hono,Web Development, 10000 /month
TantraSoft Solutions (I) Private Limited,Node.js Development, 10000 /month
Kankei Relationship Marketing Services Private Limited,Business Development (Sales), 12000-18000 /month
TantraSoft Solutions (I) Private Limited,Android App Development, 10000 /month
Racetech Solutions,PHP Development, 15000 /month
Great Place To Work Institute,Web Development, 15000 /month
The Stack Company,Marketing, 10000 /month
Nom,Business Development (Sales), 5000-9999 /month
Nu Payment Technologies Private Limited,Web Development, 7500 /month
Exchange4media Group,Event Management, 7000 /month
Ossum Technology,Ionic Cross-platform Development, 8000-12000 /month
Jetkool Exports India,Marketing, 12000 /month
Coding Junior,Flutter Development, 15000 /month
Wednesday Solutions,iOS App Development, 8000 /month
Wednesday Solutions,Android App Development, 8000 /month
FinsQ Professional Private Limited,Backend Development, 10000-12000 /month
Wednesday Solutions,React Development, 8000 /month
FinsQ Professional Private Limited,Web Development, 10000 /month
Moneytor,Web Development, 15000-25000 /month
NanoHealth,Graphic Design, 3000-8000 /month
Nirmal Textile,Mobile App Development, 5000-10000 /month
Master's Digital Photography School (MDPS),Business Development (Sales), 10000 /month
Bombay Blokes Digital Solutions LLP,Web Development, 10000 /month +  Incentives
Audi Mumbai West,Mobile App Development, 17000 /month
Prescribe,Mobile App Development, 10000 /month
Bombay Blokes Digital Solutions LLP,Graphic Design, 18000-22500 /month
Audi Mumbai West,Graphic Design, 10000 /month
Sud Goyal,React Native Development, 20000-30000 lump sum
Airowire Networks Private Limited,Web Development, 10000 /month
BallotBoxIndia,Graphic Design, 6000-12000 /month
BallotBoxIndia,Business Development (Sales), 6000-12000 /month
Kraft Education,Marketing, 8000-10000 /month
Kraft Education,Business & Marketing, 8000-10000 /month
Kraft Education,Business Management & Administration, 8000-10000 /month
Kowi Lifestyle Private Limited,React Native Development, 5000-8000 /month
One Stone,Mobile App Development, 5000-10000 /month
Blackcoffer,Manual Testing, 6000-12000 /month
M/S R B Uttam Sahil India Private Limited,CodeIgniter Development, 7000-10000 /month
Fyopro Services Private Limited,Marketing, 5000-10000 /month
Appscms Technologies Private Limited,Front End Development, 7000 /month
WeDevelopTech,Web Development, 15000-18000 /month
Global One Enterprises Private Limited,Graphic Design, 8000-10000 /month
Trion Technologies,Web Development, 8000 /month
Quartic.ai,Product Management, 15000-20000 /month
UpBrinGO,WordPress Development, 6000 /month
Verloop,Marketing, 10000 /month
OMIKRON TECHNOLOGIES PRIVATE LIMITED,Web Development, 10000 /month
Racetech Solutions,Web Development, 15000 /month
Spark Capital Advisors,Product Management, 10000 /month
Panache Entertainment,Graphic Design, 5000-10000 /month
RemoteStar,Business Development (Sales), 7500-15000 /month
Rancike Learning,JEE Advanced Questions Creation & Solving, 8000-10000 /month
Toddle,Web Development, 40000-50000 /month
SmartWinnr,Technical Support, 8000 /month
GrowBig Digital,Marketing, 10000-15000 /month
ThumbStack,Business Development, 5000-10000 /month
Convin,Web Flow Design, 10000-15000 /month
Kalpas Innovations Private Limited,Node.js Development, 7000 /month
Ninjaas Labs Private Limited,Web Development, 18000 /month
Praketa Technologies Private Limited,Backend Development (MySQL & Node.js), 8000-10000 /month
Blue Financial Technologies Private Limited,Mobile App Development, 10000-15000 /month
Solvio,Graphic Design, 8000-12000 /month
Solvio,Web Development, 12000-18000 /month
UniKwan Innovations Private Limited,Business Development (Sales), 8000-12000 /month
Bliss Gifts,Graphic Design, 10000-15000 /month
Smart E Touch,Web Development, 6000 /month
Udaan,Graphic Design, 10000 /month
Monkhub,Graphic Design, 5000-10000 /month
Monkhub,Java Development, 5000-10000 /month
Monkhub,Angular Development, 5000-10000 /month
Monkhub,Flutter Development, 5000-10000 /month
Whistling Woods International,Information Technology, 9000 /month
Vistas,Graphic Design, 15000 /month
Something New Around You! (Recco),Graphic Design, 10000-15000 /month
ComXR,Application Testing/QA, 8000-10000 /month
Juzlyktat,PHP Development, 8000 /month
Hear Us,Mobile App Development, 10000 /month
UENTREE,Business Development (Sales), 8000 /month +  Incentives
Coffee Hours Club,Mobile App Development, 10000 /month
Faclon,Product Management, 6000-10000 /month
Attereal Tech,Graphic Design, 5000-10000 /month
Fintech Global Center,Solution Architect, 20000-30000 /month
MBA Pathshala,Marketing, 5000-10000 /month
Fintech Global Center,Technical Support/Operations & Support Engineering, 25000-35000 /month
Project42 Labs,Software Testing, 8000 /month
Attereal Tech,Social Media Strategy, 6000-12000 /month
Mystro,DevOps Engineering, 5000-8000 /month
Aghori Media House Private Limited,Graphic Design, 10000-20000 /month
MentorBoxx,Marketing, 3000-7000 /month
ConnectingDots Infotech,Java Development, 8000-12000 /month
Beadcore Infotech Private Limited,Deep Learning, 15000 /month
Buddha Education Association Incorporation,Mobile App Development (Flutter), 11000 /month
Buddha Education Association Incorporation,Machine Learning, 6000 /month
Buddha Education Association Incorporation,Artificial Intelligence (AI), 12000 /month
Dream Bus,Web Development, 8000 /month +  Incentives
Globus Spirits Limited,Mobile App Development, 8000 /month
The Crafty Talk,Machine Learning, 8700 /month
MB Softech Consultants,Game Testing (Game Play)/Analyzing, 5000-7500 /month
GAMSYS Tech Private Limited,Graphic Design, 4000-8000 /month
Tectura India,ERP Trainee Consultant, 20000-25000 /month
Uipro Corporation,React Native Development, 7000-12000 /month
Filling The Blank,Graphic Design, 10000-15000 /month
Veda Enterprises,PHP/Laravel Development, 15000-20000 /month
SkillBit,Internet Of Things (IoT), 6000 /month
KUKbit Software Lab,Software Testing, 13000 /month
WIMD Technologies Private Limited,Web Development, 8000-15000 /month
Klimb.io,Product Management, 10000 /month
Klimb.io,Product Management, 10000 /month
Digipplus,Python Editing, 15000-18000 /month
Alphabt,Computer Vision (AI-Based), 10000 /month
Neemtree Internet Private Limited,Product Management, 10000 /month
Elite Forest Retreat Karjat,Business Development (Sales), 5000-10000 /month
Neemtree Internet Private Limited,Product Management, 10000 /month
TrustLogics,Software Testing, 12000 /month
CareerIvy,Business Development (Sales), 5000-10000 /month
Derma Matrimony,Mobile App Development, 25000-30000 /month
EduTekZila,Android App Development, 800-1500 /week
EduTekZila,Full Stack Development, 800-1500 /week
Minar Electric,Graphic Design, 5000-8000 /month
Just Get It,Web Development, 20000 /month
Neolen,Python/Django Development, 5000-10000 /month
Glitz Concepts & Designs,Graphic Design, 12000-18000 /month
Fart Magazine,Web Development, 7000 /month
Dwebbox,Quality & Assurance, 9000 /month
Ekal Sutra,Angular, 5000-10000 /month
Mathongo,Content Development (IIT-JEE), 10000 /month
Single Talent,Mobile App Development, 20000 /month
Chipmonk Technologies Private Limited,Backend Development, 14000-20000 /month
Makemelive Technologies LLP,Web Development, 8000 /month
Acept One MediaWorks Private Limited,Web Development, 6000-10000 /month
Juno Terra,Mobile App Development, 7000 /month
Linked List Technologies LLP,Mobile App Development, 7000-12000 /month
Pico Soft Solutions,Mobile App Development, 10000 /month
Craygency LLP,WordPress Development, 10000 /month
Three Arrow Technologies,Web Development, 8000-16000 /month
Roaming Dude Private Limited,WordPress Development, 8000-15000 /month
Ostello India Private Limited,Flutter Development, 3000-8000 /month
Karma Points,Blockchain Development, 7500 /month
TStock Mantra Investments,Business Development (Sales), 5000-9000 /month
COSGrid Systems Private Limited,Graphic Design, 10000-15000 /month
Arcatron Mobility Private Limited,Graphic Design, 15000-20000 /month
Decoders Labs,Mobile App Development, 4000-9000 /month
Cornerstone,Content Development (Mathematics), 8000 /month +  Incentives
Design Mantra Interiors Private Limited,Graphic Design, 8000-12000 /month
Touchstone Foundation (TSF),Flutter Development, 10000 /month
Ivan Software Private Limited (Design Interviews),Graphic Design, 15000 /month
I-Record Infotech Solutions Private Limited,Software Development, 7000-14000 /month
Modgenics Technology Solutions Private Limited,Web Development, 10000-15000 /month
I-Record Infotech Solutions Private Limited,Marketing, 9000-14000 /month
Earnest Fintech Limited,Full Stack Development, 5000-7500 /month
Shikhar Agrawal,Flutter Development, 3000-6000 /month
DoubtConnect Edtech Private Limited,Web Development, 15000 /month
Mumbai Property Exchange,Marketing, 12000-20000 /month
Salvador Solutions,Business Development (Sales), 10000 /month
KUKbit Software Lab,Java Development, 12000 /month
Velozity Global Solutions,Web Development, 10000-15000 /month
Paul & Bosky Mediaworks Private Limited,Web Development, 10000 /month
Housy,Flutter Development, 8000-12000 /month
Silicon Insiight,Web Development, 6000-10000 /month
Smartsys Techlabs LLP,Web Development, 12000 /month
OMG Labs,Web Development, 5000-9000 /month
ThrivingZen (OPC) Private Limited,Sustainability & Environment Research (SME), 8000-12000 /month
Ossum Technology,Laravel PHP Web Development, 25000 lump sum
Fielmente Business Advisors,Business Development (Sales), 10000 /month
Brandots Technologies,Graphic Design, 6000-10000 /month
Blackcoffer,Business Analysis, 5000-10000 /month
Anandpushp Technologies Private Limited,Web Development, 20000 /month
Tradinget,Mobile App Development, 20000 /month
Sud Goyal,Backend (Golang) Development, 5000-10000 /month
Group Futurista,Delegate Sales Management, 6000-9000 /month
Group Futurista,Event Production, 6000-10000 /month
Outshade Digital Media,Quality Assurance, 8000 /month
Group Futurista,Marketing, 6000 /month
Misui India,Web Development, 4000-7000 /month
TechStax Private Limited,Web Development, 10000 /month
Derma Matrimony,Web Development, 20000-25000 /month
Grapevine India,Marketing, 12000 /month
Vinciis,Graphic Design, 8000 /month +  Incentives
Exam Lounge,Mobile App Development, 6000-12000 /month
Intelliconnect Technologies LLP,Angular Programming, 6000-8000 /month
Crispy,Mobile App Development, 30000 lump sum
TheDigitalShift,Web Development, 7500 /month
The Kairos Pictures,Storyboard And Illustration Artist, 12000-15000 /month
InstaSell,Mobile App Development, 20000 /month
FACE Prep,Content Development (Coding), 8000 /month
InstaSell,Graphic Design, 10000 /month
Redpositive Service (OPC) Private Limited,Full Stack Development, 4000-6000 /month
Tecidexa Services Private Limited,Mobile App Development, 5000-8000 /month
CogniAble,ReactJS Development (API Integration), 10000 /month
HumanX,Business Development (Sales), 15000 /month
SkillTern,Graphic Design, 2000-7000 /month
Manjal,Mobile App Development, 5000-10000 /month
Eleven Technolab,Graphic Design, 5000-10000 /month
NSP ITES,Web Development, 14000 /month
Pristine InfoSolutions,Web Development, 5000-8000 /month
Kowi Lifestyle Private Limited,Web Development, 8000-12000 /month
Snras Systems,Aquaculture Engineering/Mechanical Engineering/Hydraulic Engineering/CFD, 7000 /month
Seekapp,Web Development, 15000 /month
Newton School,Marketing, 8000 /month +  Incentives
Dynamic Monks,Business Development (Sales), 7000 /month
Hardcaff,Business Development (Sales), 5000-10000 /month
Best Mom,Backend Development  (NodeJS - MERN), 6000 /month +  Incentives
Xtreme Technologies,Java Development, 15000-25000 /month
Kalam Institute,Marketing, 15000 /month
IESoft Technologies Private Limited,Angular Development, 20000 /month
TAFZS,DevOps/Cloud/AWS/Azure/Docker/Kubernetes Development, 10000 /month
Kartik Arora,Mobile App Development, 8000 /month
Prescribe,Graphic Design, 10000 /month
Veda Enterprises,Flutter Development, 15000-20000 /month
Ocula Group,Web Development, 20000 /month +  Incentives
Showboat Entertainment Private Limited,Graphic Design, 7000 /month
Fleksa,Software Testing, 7500-10000 /month
Ostello India Private Limited,Business Development (Sales), 8000-16000 /month
Siya Sadarangani,Business Development (Sales), 10000 /month +  Incentives
The Twelfth Man,Graphic Design, 10000-15000 /month
Velozity Global Solutions,Graphic Design, 10000-15000 /month
Robo Doodle Corp,Graphic Design, 2500-7500 /month
Gigart Solutions Private Limited,QA/Software Testing, 10000 /month
QUIQR HR Services,Marketing, 10000 /month
CrackMBAInterview,Product Management, 5000-10000 /month
Ashutosh Pandit,Web Development, 10000-20000 /month
Konverse AI,Web Development, 10000-15000 /month
Humming Sparrow Digital Solution Private Limited,React Native Development, 8000-12000 /month
Indgenous Blockchain Private Limited,Mobile App Development, 10000-20000 /month
Unicorn Vision,Web Development, 3000-7000 /month
Finance Lookup Advisors,Web Development, 10000 /month
Ostello India Private Limited,ReactJS development, 5000-10000 /month
Coin Storey (Hansis IT Supervision Private Limited),Web Development, 4000-7000 /month
Coin Storey (Hansis IT Supervision Private Limited),Web Development, 4000-7000 /month
Coin Storey (Hansis IT Supervision Private Limited),Mobile App Development, 4000-7000 /month
Thinklayer Minds Private Limited,Web Development, 15000-20000 /month
Electromotion E-vidyut Vehicles Private Limited,Mobile App Development, 5000-8000 /month
Ocula Group,Business Development (Sales), 15000-25000 /month
LenzGig,Marketing, 10000 /month
The Nail Couture,Marketing, 10000 /month
Geradeco Inovace Private Limited,Business Development (Sales), 7500 /month +  Incentives
Vacays Leisure Travel Private Limited,Graphic Design, 5000-10000 /month
K2 Engineers,Business Development (Sales), 6000 /month
Codersarts,ReactJS development, 10000-15000 /month
ASPA Global,Business Development (Sales), 7500-10000 /month
Thinklayer Minds Private Limited,AWS DevOps/Server Administration, 15000 /month
Edwisely,Subject Matter Expert (Computer Science), 25000 /month
HappSales Private Limited,Web Development, 9000-18000 /month
Vayuz Technologies Private Limited,Angular.js Development, 7000 /month
Vayuz Technologies Private Limited,React Native Development, 15000 /month
SnipThink Software Private Limited,Graphic Design, 7000 /month
Inland World Logistics Private Limited,Web Development, 8000-12000 /month
Flower Lab India,Business Development (Sales), 5000-8000 /month
Picostone,Web Development, 10000 /month
SimplyPeople,Business Development (Sales), 7000 /month +  Incentives
Blackcoffer,Data Engineering, 8000-15000 /month
Art Hill Advertising And Marketing,Graphic Design, 6000-10000 /month
Edwisely,Content Curation (Computer Science), 10000 /month
Artklim,Graphic Design, 5000-10000 /month
LAYC EDUCATION PRIVATE LIMITED,Business Development (Sales), 4000-8000 /month
"Edvora, Inc.",Web Development, 12000 /month
PeakPerformer,Product Management, 15000 /month
SoftEzi Solutions LLP,Mobile App Development, 7000 /month
EduTekZila,iOS App Development, 1000-2000 /week
Delhi Book Market,React Native Development, 17000 /month
Backprop Techologies,Graphic Design, 5000-10000 /month
MoLog Media & Advertising,iOS App Development, 7000 /month
9I Digital Services LLP,React Native Development (Backend Integration), 5000-8000 /month
Kan Innovations,Python Development, 8000 /month
A2ZE Data Services Private Limited,Business Development (Sales), 20000-30000 /month
Clime Scene,Graphic Design, 5000-6000 /month
Ostello India Private Limited,Node.js Development, 8000-15000 /month
ProtonAutoML,Software Engineering (Computer Vision), 12000-15000 /month
Supl.ai,Marketing, 10000 /month
TrueDim Technologies,Graphic Design, 7000 /month
Wikasta Business And Technical Solutions Private Limited,Graphic Design, 7500-12000 /month
Bambinos.Live,Sales - EdTech, 15000 /month
Planet Cellulloid Private Limited,Full Stack Development, 10000 /month +  Incentives
The Flames Of Fire Ministries,Graphic Design, 2000-7000 /month
ProtonAutoML,AI Engineering, 12000-15000 /month
Happax VR,Mobile App Development, 10000 /month
Mezchip,Python (Flask) Development, 6000 /month
Brain Tikka Creative Solutions,Graphic Design, 4000-8000 /month
Keeto,Marketing, 6000 /month
Zlen,Marketing, 7000 /month
SplitMirror Picturez,3D Organic Modeling & Sculpting, 6000 /month
Social Catalyst Private Limited,Graphic Design, 10000 /month +  Incentives
Edufied,DevOps Development, 5000-8000 /month
Zlen,Graphic Design, 7000 /month
SA Square Group,Marketing, 2500-7500 /month
Dhravya Technologies,Web Development, 7000-12000 /month
SmotectProgram,Graphic Design, 6000 /month
Kutuki,Graphic Design, 15000 /month
Bazigar Tech Private Limited,Android App Development, 5000-10000 /month
Ricavi Media,Business Development (Sales), 8000 /month
Beyond Red Ocean Consulting,Marketing, 15000 /month +  Incentives
EvoVolt Technologies,Game Development, 10000 /month
The Finance Story,Graphic Design, 7000 /month
HireIndians Infotech Private Limited,Digital Marketing, 5000-10000 /month
AccessAI,Graphic Design, 5000-7000 /month
GeekSynergy Technologies Private Limited,Mobile App Development (Flutter), 10000-12000 /month
Oaktree Bionics Healthcare Private Limited,Mobile App Development, 4000-7000 /month
Social Parindee Digital Marketing Agency Private Limited,Graphic Design, 8000 /month
ABP EVentures Private Limited,React Native Development, 16000 /month
AiHello,Graphic Design, 12000 /month
Janitri Innovations Private Limited,Marketing, 20000 /month
Cyber Saga,Web Development, 25000 /month
PromoDome Digital LLP,Web Development, 5000-8000 /month
GrowAgro,Mobile App Development, 10000-20000 /month
ADLUMINO Private Limited,Graphic Design, 10000 /month
Prakriti Textiles,Product Management, 10000 /month
Prakriti Textiles,Web Development, 10000 /month
DPL (Desi Premier League),Game Development, 12000 /month
DeNovo Group,Flutter Development, 18000 /month
Yogesh Prabhu,Web Development, 20000 /month
Edufied,Community Outreach, 5000-8000 /month
Al Murg Enterprises,Graphic Design, 6000 /month
Inovexic,Graphic Design, 5000-8000 /month
Techasoft Private Limited,Business Development (Sales), 6000 /month
Wagtail Technology,Business Development (Sales), 7000-14000 /month
Sonetel,Software Testing, 15000 /month
Cubesharp Developers,Business Development (Sales), 10000 /month
Bombsquad Digital Solutions,Graphic Design, 5000-7000 /month
TerraBlue XT,DevOps (AWS), 10000 /month
Innovaccer Analytics Private Limited,Events Marketing, 25000 /month
TerraBlue XT,Data Science (Advanced Python), 10000 /month
Tortoise Creative Incorporation,Full Stack Development, 10000 /month
The Multi Solutions Shop,Marketing, 10000 /month
Solar Industries India Limited,Computer Vision, 8000-15000 /month
Purple Tutor,Graphic Design, 7000 /month
Blynk,Mechanical Design Engineering, 10000 /month
Aghori Media House Private Limited,Web Development, 15000-20000 /month
DailyBrief,Product Management (Mobile App Development), 15000 /month
ISF Analytica & Informatica Private Limited,Marketing, 8000 /month
ISF Analytica & Informatica Private Limited,Web Development, 8000 /month
Xeno,CRM Marketing, 7500 /month
MapOut,Frontend Development, 15000-25000 /month
Support Guru,PHP Development, 6000 /month
NotifyVisitors,PHP Development, 5000-10000 /month
Appify Mobile Technologies,Web Development, 10000-20000 /month
Onelearning Edusphere Private Limited,Business Development (Sales), 7000 /month +  Incentives
TNT Watches,Mobile App Development, 10000-15000 /month
Nu Payment Technologies Private Limited,Product Management, 15000 /month
Talent500,Graphic Design, 15000 /month
Orca Studios,Graphic Design, 10000 /month
Strongarm Solutions,Mobile App Development, 15000 /month +  Incentives
Tripupp HR,Product Management, 8000 /month
4 Each Technologies,Business Development (Sales), 6000 /month +  Incentives
S7works,Sales Development, 10000 /month
Jabberwocky Studio,Social Media Marketing, 5000-8000 /month
Hostingstar,Web Development, 7000 /month
Grapevine India,Graphic Design, 12000 /month
Equinox Labs,Marketing, 6000 /month
IdeaPerfect Communication,Graphic Design, 10000 /month
Neha Murpana,Marketing, 8000 /month
XpertHunt,Web Development, 7500-12500 /month
Finstreet,Web Development, 10000 /month
Finstreet,Node.js Development, 10000 /month
Finstreet,Graphic Design, 7000 /month
